,repository_name,language
0,30-Days-Of-Python,
1,api-b3,
2,BruceCampos,
3,calculadora-react,JavaScript
4,challenge-amigo-secreto_pt-main,CSS
5,datasets,
6,dio-java-basico,Java
7,dio-lab-open-source,
8,GoBarber,
9,idurar-erp-crm,
10,javascript_de_padroes_a_uma_abordagem_funcional,JavaScript
11,jogo-do-numero-secreto,HTML
12,loggibud,
13,organo,JavaScript
14,pesquisa-culturama,HTML
15,pytorch-Deep-Learning,
16,React-DIO,JavaScript
17,react_native_jobs,JavaScript
18,spotify-front,CSS
19,trilha-python-dio,
20,wiki-repositorios,JavaScript
