,repository_name,language
0,.github,
1,ads-agentic-tools,Python
2,aioshumway,Python
3,android-auth,Kotlin
4,android-sdk,HTML
5,android-store-service,Python
6,annoy,C++
7,annoy-java,Java
8,apollo,Java
9,apollo-elide,Java
10,apollo-metrics,
11,apps-tutorial,
12,argo-cd,
13,argo-rollouts,
14,async-datastore-client,Java
15,async-google-pubsub-client,Java
16,backup-utils,Shell
17,basic-pitch,Python
18,basic-pitch-ts,TypeScript
19,batty,Python
20,bazel,
21,bazel-tools,Java
22,beam,Java
23,big-data-rosetta-code,Scala
24,bigtable-autoscaler,Java
25,boilerplate-app,
26,bucket-runner,JavaScript
27,cartography,Python
28,cassandra-extra,Java
29,cassandra-medusa,Python
